student_id,date_registered,first_date_watched,first_date_purchased,reg_to_watch_days,watch_to_purchase days
255309,01-12-2021,01-12-2021,NULL,0,NULL
255310,01-12-2021,01-12-2021,NULL,0,NULL
255312,01-12-2021,01-12-2021,01-12-2021,0,0
255315,01-12-2021,01-12-2021,01-12-2021,0,0
255318,01-12-2021,01-12-2021,01-12-2021,0,0
255319,01-12-2021,01-12-2021,NULL,0,NULL
255329,01-12-2021,06-06-2022,NULL,187,NULL
255331,01-12-2021,01-12-2021,NULL,0,NULL
255332,01-12-2021,01-12-2021,01-12-2021,0,0
255335,01-12-2021,01-12-2021,01-12-2021,0,0
255338,01-12-2021,01-12-2021,01-12-2021,0,0
255340,01-12-2021,01-12-2021,NULL,0,NULL
255344,01-12-2021,01-12-2021,01-12-2021,0,0
255345,01-12-2021,01-12-2021,NULL,0,NULL
255346,01-12-2021,01-12-2021,01-12-2021,0,0
255347,01-12-2021,01-12-2021,NULL,0,NULL
255348,01-12-2021,01-12-2021,01-12-2021,0,0
255349,01-12-2021,01-12-2021,01-12-2021,0,0
255351,01-12-2021,01-12-2021,NULL,0,NULL
255358,02-12-2021,02-12-2021,NULL,0,NULL
255361,02-12-2021,02-12-2021,NULL,0,NULL
255363,02-12-2021,02-12-2021,NULL,0,NULL
255365,02-12-2021,02-12-2021,NULL,0,NULL
255367,02-12-2021,02-12-2021,06-12-2021,0,4
255368,02-12-2021,02-12-2021,NULL,0,NULL
255372,02-12-2021,02-12-2021,02-12-2021,0,0
255375,02-12-2021,02-12-2021,NULL,0,NULL
255377,02-12-2021,02-12-2021,NULL,0,NULL
255378,02-12-2021,02-12-2021,02-12-2021,0,0
255381,02-12-2021,02-12-2021,NULL,0,NULL
255382,02-12-2021,02-12-2021,NULL,0,NULL
255384,02-12-2021,29-01-2022,NULL,58,NULL
255389,02-12-2021,02-12-2021,NULL,0,NULL
255391,02-12-2021,02-12-2021,02-12-2021,0,0
255396,02-12-2021,02-12-2021,06-12-2021,0,4
255397,02-12-2021,02-12-2021,02-12-2021,0,0
255398,02-12-2021,02-12-2021,NULL,0,NULL
255400,02-12-2021,02-12-2021,NULL,0,NULL
255404,02-12-2021,05-09-2022,NULL,277,NULL
255406,02-12-2021,02-12-2021,02-12-2021,0,0
255407,02-12-2021,02-12-2021,NULL,0,NULL
255413,02-12-2021,02-12-2021,NULL,0,NULL
255414,02-12-2021,02-12-2021,NULL,0,NULL
255419,02-12-2021,02-12-2021,NULL,0,NULL
255421,02-12-2021,17-02-2022,NULL,77,NULL
255422,02-12-2021,02-12-2021,NULL,0,NULL
255425,02-12-2021,02-12-2021,NULL,0,NULL
255426,02-12-2021,02-12-2021,NULL,0,NULL
255431,02-12-2021,02-12-2021,NULL,0,NULL
255433,02-12-2021,24-12-2021,NULL,22,NULL
255435,02-12-2021,02-12-2021,NULL,0,NULL
255439,02-12-2021,02-12-2021,NULL,0,NULL
255441,02-12-2021,02-12-2021,NULL,0,NULL
255442,02-12-2021,02-12-2021,NULL,0,NULL
255443,02-12-2021,02-12-2021,NULL,0,NULL
255444,02-12-2021,02-12-2021,NULL,0,NULL
255447,02-12-2021,02-12-2021,NULL,0,NULL
255449,02-12-2021,02-12-2021,05-12-2021,0,3
255451,02-12-2021,02-12-2021,NULL,0,NULL
255452,02-12-2021,02-12-2021,NULL,0,NULL
255455,02-12-2021,02-12-2021,NULL,0,NULL
255462,02-12-2021,02-12-2021,NULL,0,NULL
255464,02-12-2021,02-12-2021,NULL,0,NULL
255465,02-12-2021,02-12-2021,NULL,0,NULL
255476,02-12-2021,02-12-2021,NULL,0,NULL
255477,02-12-2021,02-12-2021,NULL,0,NULL
255478,02-12-2021,03-12-2021,NULL,1,NULL
255479,02-12-2021,02-12-2021,NULL,0,NULL
255480,02-12-2021,13-12-2021,NULL,11,NULL
255481,02-12-2021,04-12-2021,NULL,2,NULL
255488,02-12-2021,04-12-2021,04-12-2021,2,0
255492,02-12-2021,03-12-2021,NULL,1,NULL
255493,02-12-2021,02-12-2021,NULL,0,NULL
255494,02-12-2021,02-12-2021,NULL,0,NULL
255495,02-12-2021,02-12-2021,NULL,0,NULL
255496,02-12-2021,03-12-2021,NULL,1,NULL
255498,02-12-2021,02-12-2021,NULL,0,NULL
255502,02-12-2021,02-12-2021,NULL,0,NULL
255508,02-12-2021,08-12-2021,NULL,6,NULL
255509,02-12-2021,02-12-2021,NULL,0,NULL
255511,02-12-2021,17-04-2022,NULL,136,NULL
255513,02-12-2021,02-12-2021,NULL,0,NULL
255515,03-12-2021,03-12-2021,NULL,0,NULL
255516,03-12-2021,03-12-2021,NULL,0,NULL
255517,03-12-2021,03-12-2021,NULL,0,NULL
255521,03-12-2021,03-12-2021,NULL,0,NULL
255523,03-12-2021,03-12-2021,NULL,0,NULL
255524,03-12-2021,03-12-2021,NULL,0,NULL
255525,03-12-2021,03-12-2021,NULL,0,NULL
255529,03-12-2021,03-12-2021,07-12-2021,0,4
255532,03-12-2021,03-12-2021,NULL,0,NULL
255533,03-12-2021,03-12-2021,NULL,0,NULL
255534,03-12-2021,03-12-2021,06-12-2021,0,3
255547,03-12-2021,03-12-2021,NULL,0,NULL
255548,03-12-2021,03-12-2021,NULL,0,NULL
255550,03-12-2021,03-12-2021,NULL,0,NULL
255553,03-12-2021,03-12-2021,NULL,0,NULL
255554,03-12-2021,03-12-2021,NULL,0,NULL
255555,03-12-2021,03-12-2021,NULL,0,NULL
255556,03-12-2021,03-12-2021,NULL,0,NULL
255558,03-12-2021,03-12-2021,NULL,0,NULL
255559,03-12-2021,03-12-2021,NULL,0,NULL
255561,03-12-2021,06-12-2021,NULL,3,NULL
255563,03-12-2021,03-12-2021,03-12-2021,0,0
255572,03-12-2021,03-12-2021,NULL,0,NULL
255578,03-12-2021,03-12-2021,NULL,0,NULL
255580,03-12-2021,03-12-2021,NULL,0,NULL
255581,03-12-2021,03-12-2021,NULL,0,NULL
255585,03-12-2021,03-12-2021,NULL,0,NULL
255587,03-12-2021,03-12-2021,NULL,0,NULL
255589,03-12-2021,10-12-2021,10-12-2021,7,0
255592,03-12-2021,07-12-2021,NULL,4,NULL
255593,03-12-2021,03-12-2021,NULL,0,NULL
255595,03-12-2021,05-12-2021,09-12-2021,2,4
255598,03-12-2021,03-12-2021,NULL,0,NULL
255603,03-12-2021,03-12-2021,NULL,0,NULL
255606,03-12-2021,03-12-2021,NULL,0,NULL
255608,03-12-2021,03-12-2021,NULL,0,NULL
255610,03-12-2021,03-12-2021,NULL,0,NULL
255613,03-12-2021,15-08-2022,NULL,255,NULL
255615,03-12-2021,06-12-2021,NULL,3,NULL
255619,03-12-2021,04-12-2021,NULL,1,NULL
255622,03-12-2021,03-12-2021,NULL,0,NULL
255623,03-12-2021,23-12-2021,NULL,20,NULL
255624,03-12-2021,03-12-2021,NULL,0,NULL
255630,03-12-2021,03-12-2021,NULL,0,NULL
255634,03-12-2021,03-12-2021,NULL,0,NULL
255637,03-12-2021,03-12-2021,NULL,0,NULL
255641,03-12-2021,03-12-2021,03-12-2021,0,0
255642,03-12-2021,03-12-2021,NULL,0,NULL
255643,03-12-2021,03-12-2021,NULL,0,NULL
255646,03-12-2021,03-12-2021,NULL,0,NULL
255650,03-12-2021,03-12-2021,NULL,0,NULL
255652,03-12-2021,03-12-2021,NULL,0,NULL
255656,03-12-2021,03-12-2021,NULL,0,NULL
255657,03-12-2021,03-12-2021,NULL,0,NULL
255658,03-12-2021,03-12-2021,NULL,0,NULL
255660,03-12-2021,04-03-2022,NULL,91,NULL
255661,04-12-2021,04-12-2021,NULL,0,NULL
255664,04-12-2021,04-12-2021,NULL,0,NULL
255665,04-12-2021,04-12-2021,NULL,0,NULL
255668,04-12-2021,04-12-2021,25-01-2022,0,52
255670,04-12-2021,07-12-2021,NULL,3,NULL
255677,04-12-2021,04-12-2021,NULL,0,NULL
255684,04-12-2021,04-12-2021,NULL,0,NULL
255690,04-12-2021,04-12-2021,NULL,0,NULL
255692,04-12-2021,04-12-2021,NULL,0,NULL
255694,04-12-2021,04-12-2021,NULL,0,NULL
255696,04-12-2021,04-12-2021,NULL,0,NULL
255698,04-12-2021,04-12-2021,NULL,0,NULL
255700,04-12-2021,04-12-2021,NULL,0,NULL
255702,04-12-2021,04-12-2021,NULL,0,NULL
255703,04-12-2021,04-12-2021,NULL,0,NULL
255711,04-12-2021,06-12-2021,NULL,2,NULL
255713,04-12-2021,04-12-2021,NULL,0,NULL
255714,04-12-2021,04-12-2021,NULL,0,NULL
255715,04-12-2021,04-12-2021,NULL,0,NULL
255716,04-12-2021,04-12-2021,NULL,0,NULL
255720,04-12-2021,04-12-2021,NULL,0,NULL
255723,04-12-2021,06-12-2021,NULL,2,NULL
255724,04-12-2021,04-12-2021,NULL,0,NULL
255727,04-12-2021,04-12-2021,NULL,0,NULL
255728,04-12-2021,04-12-2021,NULL,0,NULL
255729,04-12-2021,04-12-2021,NULL,0,NULL
255730,04-12-2021,04-12-2021,NULL,0,NULL
255731,04-12-2021,04-12-2021,NULL,0,NULL
255732,04-12-2021,21-03-2022,NULL,107,NULL
255733,04-12-2021,04-12-2021,NULL,0,NULL
255734,04-12-2021,04-12-2021,NULL,0,NULL
255735,04-12-2021,04-12-2021,NULL,0,NULL
255741,04-12-2021,14-12-2021,NULL,10,NULL
255744,04-12-2021,04-12-2021,06-12-2021,0,2
255748,04-12-2021,06-12-2021,NULL,2,NULL
255749,04-12-2021,04-12-2021,NULL,0,NULL
255751,04-12-2021,07-12-2021,NULL,3,NULL
255752,04-12-2021,04-12-2021,NULL,0,NULL
255755,04-12-2021,06-12-2021,NULL,2,NULL
255757,04-12-2021,04-12-2021,NULL,0,NULL
255759,04-12-2021,04-12-2021,NULL,0,NULL
255761,04-12-2021,04-12-2021,NULL,0,NULL
255762,04-12-2021,04-12-2021,NULL,0,NULL
255764,04-12-2021,04-12-2021,NULL,0,NULL
255765,04-12-2021,06-12-2021,10-12-2021,2,4
255766,04-12-2021,04-12-2021,NULL,0,NULL
255768,04-12-2021,06-01-2022,NULL,33,NULL
255770,04-12-2021,04-12-2021,NULL,0,NULL
255772,04-12-2021,04-12-2021,04-12-2021,0,0
255774,04-12-2021,04-12-2021,NULL,0,NULL
255776,04-12-2021,04-12-2021,NULL,0,NULL
255779,04-12-2021,04-12-2021,NULL,0,NULL
255784,04-12-2021,04-12-2021,NULL,0,NULL
255786,04-12-2021,05-12-2021,NULL,1,NULL
255789,04-12-2021,04-12-2021,NULL,0,NULL
255791,04-12-2021,04-12-2021,NULL,0,NULL
255792,04-12-2021,04-12-2021,NULL,0,NULL
255793,05-12-2021,07-12-2021,NULL,2,NULL
255795,05-12-2021,05-12-2021,NULL,0,NULL
255796,05-12-2021,05-12-2021,NULL,0,NULL
255798,05-12-2021,22-02-2022,NULL,79,NULL
255800,05-12-2021,05-12-2021,NULL,0,NULL
255804,05-12-2021,05-12-2021,NULL,0,NULL
255806,05-12-2021,05-12-2021,NULL,0,NULL
255808,05-12-2021,05-12-2021,NULL,0,NULL
255810,05-12-2021,06-12-2021,NULL,1,NULL
255813,05-12-2021,05-12-2021,NULL,0,NULL
255819,05-12-2021,05-12-2021,NULL,0,NULL
255820,05-12-2021,05-12-2021,NULL,0,NULL
255821,05-12-2021,05-12-2021,NULL,0,NULL
255826,05-12-2021,05-12-2021,NULL,0,NULL
255827,05-12-2021,05-12-2021,25-02-2022,0,82
255830,05-12-2021,05-12-2021,NULL,0,NULL
255831,05-12-2021,05-12-2021,NULL,0,NULL
255832,05-12-2021,05-12-2021,NULL,0,NULL
255833,05-12-2021,05-12-2021,NULL,0,NULL
255834,05-12-2021,05-12-2021,NULL,0,NULL
255835,05-12-2021,09-12-2021,NULL,4,NULL
255836,05-12-2021,05-12-2021,NULL,0,NULL
255838,05-12-2021,19-02-2022,NULL,76,NULL
255839,05-12-2021,06-12-2021,NULL,1,NULL
255840,05-12-2021,05-12-2021,NULL,0,NULL
255844,05-12-2021,05-12-2021,NULL,0,NULL
255848,05-12-2021,05-12-2021,NULL,0,NULL
255849,05-12-2021,05-12-2021,NULL,0,NULL
255852,05-12-2021,05-12-2021,NULL,0,NULL
255854,05-12-2021,05-12-2021,NULL,0,NULL
255855,05-12-2021,05-12-2021,NULL,0,NULL
255859,05-12-2021,05-12-2021,08-12-2021,0,3
255865,05-12-2021,05-12-2021,NULL,0,NULL
255867,05-12-2021,05-12-2021,NULL,0,NULL
255870,05-12-2021,05-12-2021,NULL,0,NULL
255871,05-12-2021,05-12-2021,NULL,0,NULL
255872,05-12-2021,05-12-2021,NULL,0,NULL
255875,05-12-2021,05-12-2021,NULL,0,NULL
255876,05-12-2021,05-12-2021,NULL,0,NULL
255877,05-12-2021,11-12-2021,NULL,6,NULL
255879,05-12-2021,05-12-2021,NULL,0,NULL
255880,05-12-2021,05-12-2021,NULL,0,NULL
255884,05-12-2021,08-12-2021,NULL,3,NULL
255885,05-12-2021,05-12-2021,NULL,0,NULL
255886,05-12-2021,14-08-2022,NULL,252,NULL
255887,05-12-2021,05-12-2021,NULL,0,NULL
255888,05-12-2021,05-12-2021,NULL,0,NULL
255890,05-12-2021,05-12-2021,NULL,0,NULL
255892,05-12-2021,07-12-2021,19-01-2023,2,408
255894,05-12-2021,07-12-2021,NULL,2,NULL
255896,06-12-2021,06-12-2021,NULL,0,NULL
255897,06-12-2021,16-08-2022,NULL,253,NULL
255898,06-12-2021,06-12-2021,NULL,0,NULL
255902,06-12-2021,06-12-2021,NULL,0,NULL
255903,06-12-2021,06-12-2021,NULL,0,NULL
255905,06-12-2021,06-12-2021,NULL,0,NULL
255908,06-12-2021,06-12-2021,NULL,0,NULL
255909,06-12-2021,10-01-2022,NULL,35,NULL
255910,06-12-2021,06-12-2021,NULL,0,NULL
255911,06-12-2021,06-12-2021,NULL,0,NULL
255912,06-12-2021,06-12-2021,18-02-2022,0,74
255914,06-12-2021,06-12-2021,NULL,0,NULL
255916,06-12-2021,06-12-2021,NULL,0,NULL
255917,06-12-2021,03-01-2022,NULL,28,NULL
255919,06-12-2021,06-12-2021,NULL,0,NULL
255920,06-12-2021,06-12-2021,NULL,0,NULL
255921,06-12-2021,06-12-2021,NULL,0,NULL
255923,06-12-2021,07-12-2021,NULL,1,NULL
255926,06-12-2021,06-12-2021,NULL,0,NULL
255927,06-12-2021,06-12-2021,NULL,0,NULL
255930,06-12-2021,06-12-2021,NULL,0,NULL
255931,06-12-2021,10-12-2021,NULL,4,NULL
255935,06-12-2021,06-12-2021,NULL,0,NULL
255936,06-12-2021,06-12-2021,NULL,0,NULL
255942,06-12-2021,06-12-2021,NULL,0,NULL
255943,06-12-2021,06-12-2021,NULL,0,NULL
255949,06-12-2021,06-12-2021,NULL,0,NULL
255958,06-12-2021,28-12-2021,NULL,22,NULL
255960,06-12-2021,06-12-2021,NULL,0,NULL
255963,06-12-2021,06-12-2021,NULL,0,NULL
255972,06-12-2021,06-12-2021,NULL,0,NULL
255973,06-12-2021,06-03-2022,NULL,90,NULL
255975,06-12-2021,06-12-2021,NULL,0,NULL
255979,06-12-2021,17-12-2021,NULL,11,NULL
255982,06-12-2021,06-12-2021,NULL,0,NULL
255984,06-12-2021,06-12-2021,NULL,0,NULL
255985,06-12-2021,06-12-2021,NULL,0,NULL
255988,06-12-2021,06-12-2021,NULL,0,NULL
255989,06-12-2021,06-12-2021,NULL,0,NULL
255991,06-12-2021,07-12-2021,NULL,1,NULL
255993,06-12-2021,06-12-2021,16-12-2021,0,10
255995,06-12-2021,06-12-2021,NULL,0,NULL
255997,06-12-2021,06-12-2021,NULL,0,NULL
255999,06-12-2021,06-12-2021,NULL,0,NULL
256000,06-12-2021,06-12-2021,NULL,0,NULL
256002,06-12-2021,06-12-2021,NULL,0,NULL
256004,06-12-2021,06-12-2021,NULL,0,NULL
256009,06-12-2021,06-12-2021,NULL,0,NULL
256010,06-12-2021,20-09-2022,NULL,288,NULL
256011,06-12-2021,09-12-2021,NULL,3,NULL
256015,06-12-2021,06-12-2021,NULL,0,NULL
256018,06-12-2021,28-12-2021,29-12-2021,22,1
256019,06-12-2021,06-12-2021,NULL,0,NULL
256023,06-12-2021,06-12-2021,NULL,0,NULL
256027,06-12-2021,06-12-2021,NULL,0,NULL
256032,06-12-2021,06-12-2021,NULL,0,NULL
256033,06-12-2021,06-12-2021,NULL,0,NULL
256036,06-12-2021,06-12-2021,NULL,0,NULL
256039,06-12-2021,06-12-2021,NULL,0,NULL
256042,06-12-2021,06-12-2021,NULL,0,NULL
256043,06-12-2021,31-05-2022,NULL,176,NULL
256044,06-12-2021,06-12-2021,NULL,0,NULL
256048,06-12-2021,06-12-2021,NULL,0,NULL
256050,06-12-2021,07-12-2021,NULL,1,NULL
256051,06-12-2021,06-12-2021,NULL,0,NULL
256052,07-12-2021,07-12-2021,NULL,0,NULL
256054,07-12-2021,07-12-2021,NULL,0,NULL
256055,07-12-2021,07-12-2021,07-12-2021,0,0
256057,07-12-2021,07-12-2021,NULL,0,NULL
256058,07-12-2021,11-09-2022,NULL,278,NULL
256060,07-12-2021,07-12-2021,NULL,0,NULL
256061,07-12-2021,07-12-2021,NULL,0,NULL
256062,07-12-2021,07-12-2021,NULL,0,NULL
256064,07-12-2021,07-12-2021,NULL,0,NULL
256065,07-12-2021,07-12-2021,NULL,0,NULL
256067,07-12-2021,07-12-2021,NULL,0,NULL
256071,07-12-2021,07-12-2021,NULL,0,NULL
256073,07-12-2021,07-12-2021,NULL,0,NULL
256074,07-12-2021,07-12-2021,NULL,0,NULL
256075,07-12-2021,07-12-2021,NULL,0,NULL
256077,07-12-2021,07-12-2021,NULL,0,NULL
256079,07-12-2021,07-12-2021,NULL,0,NULL
256082,07-12-2021,07-12-2021,NULL,0,NULL
256085,07-12-2021,07-12-2021,NULL,0,NULL
256086,07-12-2021,24-12-2021,NULL,17,NULL
256088,07-12-2021,07-12-2021,NULL,0,NULL
256089,07-12-2021,07-12-2021,NULL,0,NULL
256093,07-12-2021,10-12-2021,NULL,3,NULL
256095,07-12-2021,07-12-2021,NULL,0,NULL
256096,07-12-2021,07-12-2021,NULL,0,NULL
256099,07-12-2021,25-12-2021,NULL,18,NULL
256102,07-12-2021,07-12-2021,NULL,0,NULL
256104,07-12-2021,07-12-2021,NULL,0,NULL
256109,07-12-2021,07-12-2021,NULL,0,NULL
256110,07-12-2021,07-12-2021,NULL,0,NULL
256111,07-12-2021,19-12-2021,NULL,12,NULL
256112,07-12-2021,07-12-2021,NULL,0,NULL
256115,07-12-2021,07-12-2021,NULL,0,NULL
256116,07-12-2021,07-12-2021,NULL,0,NULL
256120,07-12-2021,07-12-2021,NULL,0,NULL
256123,07-12-2021,07-12-2021,NULL,0,NULL
256125,07-12-2021,07-12-2021,NULL,0,NULL
256126,07-12-2021,07-12-2021,NULL,0,NULL
256127,07-12-2021,17-12-2021,17-12-2021,10,0
256128,07-12-2021,07-12-2021,NULL,0,NULL
256130,07-12-2021,07-12-2021,NULL,0,NULL
256133,07-12-2021,10-12-2021,NULL,3,NULL
256134,07-12-2021,07-12-2021,NULL,0,NULL
256135,07-12-2021,07-12-2021,NULL,0,NULL
256140,07-12-2021,07-12-2021,NULL,0,NULL
256143,07-12-2021,07-12-2021,NULL,0,NULL
256145,07-12-2021,07-12-2021,NULL,0,NULL
256149,07-12-2021,08-01-2022,NULL,32,NULL
256150,07-12-2021,08-12-2021,NULL,1,NULL
256152,07-12-2021,07-12-2021,NULL,0,NULL
256154,07-12-2021,07-12-2021,NULL,0,NULL
256156,07-12-2021,07-12-2021,NULL,0,NULL
256157,07-12-2021,14-12-2021,NULL,7,NULL
256161,07-12-2021,07-12-2021,NULL,0,NULL
256162,07-12-2021,15-09-2022,NULL,282,NULL
256163,07-12-2021,07-12-2021,NULL,0,NULL
256164,07-12-2021,07-12-2021,NULL,0,NULL
256168,07-12-2021,07-12-2021,NULL,0,NULL
256169,07-12-2021,07-12-2021,NULL,0,NULL
256176,07-12-2021,08-12-2021,NULL,1,NULL
256178,08-12-2021,08-12-2021,NULL,0,NULL
256180,08-12-2021,08-12-2021,NULL,0,NULL
256181,08-12-2021,08-12-2021,NULL,0,NULL
256183,08-12-2021,08-12-2021,NULL,0,NULL
256185,08-12-2021,08-12-2021,NULL,0,NULL
256187,08-12-2021,08-12-2021,NULL,0,NULL
256190,08-12-2021,08-12-2021,NULL,0,NULL
256193,08-12-2021,08-12-2021,08-12-2021,0,0
256195,08-12-2021,09-12-2021,NULL,1,NULL
256196,08-12-2021,08-12-2021,NULL,0,NULL
256198,08-12-2021,08-12-2021,NULL,0,NULL
256201,08-12-2021,08-12-2021,NULL,0,NULL
256204,08-12-2021,08-12-2021,NULL,0,NULL
256208,08-12-2021,08-12-2021,NULL,0,NULL
256209,08-12-2021,24-04-2022,NULL,137,NULL
256211,08-12-2021,08-12-2021,NULL,0,NULL
256215,08-12-2021,19-12-2021,NULL,11,NULL
256222,08-12-2021,08-12-2021,NULL,0,NULL
256223,08-12-2021,08-12-2021,NULL,0,NULL
256229,08-12-2021,08-12-2021,NULL,0,NULL
256230,08-12-2021,08-12-2021,NULL,0,NULL
256233,08-12-2021,08-12-2021,NULL,0,NULL
256237,08-12-2021,08-12-2021,NULL,0,NULL
256238,08-12-2021,08-12-2021,NULL,0,NULL
256240,08-12-2021,08-12-2021,NULL,0,NULL
256242,08-12-2021,08-12-2021,NULL,0,NULL
256243,08-12-2021,11-12-2021,NULL,3,NULL
256244,08-12-2021,12-08-2022,NULL,247,NULL
256249,08-12-2021,08-12-2021,NULL,0,NULL
256253,08-12-2021,08-12-2021,NULL,0,NULL
256254,08-12-2021,27-07-2022,NULL,231,NULL
256257,08-12-2021,08-12-2021,NULL,0,NULL
256258,08-12-2021,08-12-2021,NULL,0,NULL
256259,08-12-2021,13-01-2022,NULL,36,NULL
256260,08-12-2021,08-12-2021,NULL,0,NULL
256261,08-12-2021,08-12-2021,NULL,0,NULL
256262,08-12-2021,08-12-2021,NULL,0,NULL
256263,08-12-2021,08-12-2021,NULL,0,NULL
256266,08-12-2021,09-12-2021,NULL,1,NULL
256269,08-12-2021,08-12-2021,NULL,0,NULL
256270,08-12-2021,09-12-2021,09-12-2021,1,0
256273,08-12-2021,08-12-2021,NULL,0,NULL
256274,08-12-2021,09-12-2021,NULL,1,NULL
256276,08-12-2021,08-12-2021,NULL,0,NULL
256281,08-12-2021,08-12-2021,NULL,0,NULL
256284,08-12-2021,08-12-2021,NULL,0,NULL
256286,08-12-2021,11-12-2021,NULL,3,NULL
256288,08-12-2021,08-12-2021,NULL,0,NULL
256289,08-12-2021,08-12-2021,NULL,0,NULL
256291,08-12-2021,08-12-2021,NULL,0,NULL
256294,08-12-2021,08-12-2021,NULL,0,NULL
256295,08-12-2021,08-12-2021,NULL,0,NULL
256296,08-12-2021,30-03-2022,NULL,112,NULL
256298,08-12-2021,08-12-2021,NULL,0,NULL
256299,08-12-2021,08-12-2021,NULL,0,NULL
256301,08-12-2021,08-12-2021,23-01-2023,0,411
256302,08-12-2021,08-12-2021,NULL,0,NULL
256303,08-12-2021,08-12-2021,NULL,0,NULL
256305,08-12-2021,14-12-2021,NULL,6,NULL
256310,09-12-2021,09-12-2021,NULL,0,NULL
256312,09-12-2021,09-12-2021,18-01-2023,0,405
256316,09-12-2021,09-12-2021,NULL,0,NULL
256318,09-12-2021,09-12-2021,NULL,0,NULL
256321,09-12-2021,09-12-2021,NULL,0,NULL
256322,09-12-2021,18-07-2022,NULL,221,NULL
256326,09-12-2021,09-12-2021,NULL,0,NULL
256329,09-12-2021,09-12-2021,16-12-2021,0,7
256332,09-12-2021,09-12-2021,NULL,0,NULL
256333,09-12-2021,09-12-2021,NULL,0,NULL
256336,09-12-2021,09-12-2021,NULL,0,NULL
256340,09-12-2021,09-12-2021,NULL,0,NULL
256342,09-12-2021,09-12-2021,NULL,0,NULL
256344,09-12-2021,09-12-2021,NULL,0,NULL
256347,09-12-2021,09-12-2021,NULL,0,NULL
256349,09-12-2021,09-12-2021,NULL,0,NULL
256350,09-12-2021,09-12-2021,NULL,0,NULL
256353,09-12-2021,09-12-2021,NULL,0,NULL
256354,09-12-2021,09-12-2021,NULL,0,NULL
256355,09-12-2021,09-12-2021,NULL,0,NULL
256357,09-12-2021,09-12-2021,NULL,0,NULL
256358,09-12-2021,14-12-2021,NULL,5,NULL
256359,09-12-2021,09-12-2021,NULL,0,NULL
256360,09-12-2021,09-12-2021,NULL,0,NULL
256365,09-12-2021,09-12-2021,NULL,0,NULL
256371,09-12-2021,09-12-2021,NULL,0,NULL
256373,09-12-2021,09-12-2021,NULL,0,NULL
256376,09-12-2021,09-12-2021,NULL,0,NULL
256378,09-12-2021,09-12-2021,NULL,0,NULL
256379,09-12-2021,09-12-2021,NULL,0,NULL
256380,09-12-2021,09-12-2021,NULL,0,NULL
256383,09-12-2021,09-12-2021,NULL,0,NULL
256384,09-12-2021,09-12-2021,NULL,0,NULL
256386,09-12-2021,10-12-2021,27-12-2021,1,17
256395,09-12-2021,10-12-2021,NULL,1,NULL
256396,09-12-2021,09-12-2021,NULL,0,NULL
256397,09-12-2021,09-12-2021,NULL,0,NULL
256398,09-12-2021,09-12-2021,NULL,0,NULL
256401,09-12-2021,09-12-2021,NULL,0,NULL
256403,09-12-2021,09-12-2021,NULL,0,NULL
